es_id,row_id,report_group,study,outcome_subject,grade_band,g,v,se,n_t,n_c,n_clusters,icc_assumed,cluster_adjusted,pretest_adjusted,extraction_method,source_stat,page_ref,extractor,confidence,notes
F0001,1,abe et al. 2012,Abe et al. 2012,Reading,3-6,0.1621,0.003481,0.059,927,593,106,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0002,2,allen et al. 2015,Allen et al. 2015,Reading,Mixed,-0.1321,0.023901,0.1546,560,305,57,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0003,3,ansari&pianta 2018,Ansari & Pianta 2018,Reading,Pre-k,0.1532,0.010384,0.1019,629,1344,94,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0004,3,ansari&pianta 2018,Ansari & Pianta 2018,Reading,Pre-k,-0.0712,0.042066,0.2051,850,979,108,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0005,3,ansari&pianta 2018,Ansari & Pianta 2018,Reading,Pre-k,0.0899,0.010343,0.1017,227,170,61,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0006,4,arens et al. 2012,Arens et al. 2012,Reading,Mixed,0.159,0.005402,0.0735,1498,144,57,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0007,4,arens et al. 2012,Arens et al. 2012,Other,Mixed,0.025,0.045369,0.213,1134,873,114,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0008,5,babinski et al. 2018,Babinski et al. 2018,Reading,K-2,-0.2174,0.0144,0.12,141,193,98,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0009,6,bierman et al. 2008,Bierman et al. 2008,Reading,Pre-k,0.0652,0.012701,0.1127,728,614,82,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0010,6,bierman et al. 2008,Bierman et al. 2008,Reading,Pre-k,0.1718,0.027989,0.1673,1361,497,92,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0011,6,bierman et al. 2008,Bierman et al. 2008,Other,Pre-k,-0.2671,0.030976,0.176,1434,1258,73,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0012,7,bleses et al. 2021,Bleses et al. 2021,Reading,Pre-k,0.2422,0.027456,0.1657,1390,603,82,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0013,8,borman et al. 2007,Borman et al. 2007,STEM,K-2,0.0727,0.014376,0.1199,1275,346,81,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0014,8,borman et al. 2007,Borman et al. 2007,STEM,K-2,0.0171,0.00552,0.0743,774,199,76,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0015,9,borman et al. 2008,Borman et al. 2008,Reading,Mixed,-0.1067,0.005314,0.0729,1346,537,34,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0016,9,borman et al. 2008,Borman et al. 2008,Reading,Mixed,0.0011,0.015031,0.1226,682,82,54,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0017,9,borman et al. 2008,Borman et al. 2008,Reading,Mixed,0.1132,0.032906,0.1814,1154,1298,34,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0018,10,borman et al. 2021,Borman et al. 2021,Reading,7-12,0.3112,0.046829,0.2164,87,1011,58,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0019,10,borman et al. 2021,Borman et al. 2021,Reading,7-12,0.2873,0.032292,0.1797,85,506,111,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
