slug,delivery_mode,test_alignment,curriculum_coupled,outcome_timing,confidence
abe_2012,in_person,independent,practice_only,immediate,high
allen_2015,blended,independent,practice_only,immediate,high
ansari_pianta_2018,online,independent,practice_only,immediate,medium
arens_2012,in_person,independent,bundled,immediate,high
babinski_2018,in_person,independent,practice_only,immediate,high
bierman_2008,in_person,independent,bundled,immediate,high
bleses_2021,in_person,independent,bundled,delayed,medium
borman_2007,in_person,independent,bundled,immediate,high
borman_2008,in_person,aligned,bundled,immediate,high
borman_2021,not_reported,independent,practice_only,both,medium
bottge_2014,in_person,mixed,bundled,immediate,high
boylan_2018,in_person,mixed,bundled,immediate,high
buysse_2010,in_person,mixed,practice_only,immediate,high
cabell_2011,blended,independent,practice_only,immediate,high
carroll_2020,not_reported,independent,bundled,immediate,high
castro_2017,in_person,mixed,practice_only,immediate,high
cavalluzzo_2014,in_person,independent,practice_only,immediate,high
clarke_2015,in_person,mixed,bundled,both,high
cordray_2012,blended,mixed,bundled,immediate,high
coyne_2013,in_person,aligned,bundled,immediate,high
culliney_2019,in_person,independent,practice_only,immediate,high
decesare_2017,in_person,independent,practice_only,immediate,high
dolfin_2019,blended,independent,bundled,both,high
droop_2016,in_person,independent,bundled,immediate,high
drummond_2011,in_person,independent,bundled,immediate,high
drummond_2020,in_person,independent,bundled,immediate,high
duncan_2018,in_person,independent,practice_only,immediate,high
early_2016,in_person,independent,bundled,immediate,high
fancsali_2015,in_person,aligned,practice_only,immediate,high
finkelstein_2010,in_person,mixed,bundled,immediate,high
fong_2015,in_person,independent,bundled,immediate,high
garet_2008,in_person,independent,practice_only,immediate,high
garet_2011,in_person,aligned,practice_only,immediate,high
garet_2016,in_person,mixed,practice_only,immediate,high
gersten_2010,in_person,independent,practice_only,immediate,high
gorard_2015,in_person,independent,practice_only,immediate,medium
gore_2021,in_person,independent,practice_only,immediate,high
greenleaf_2011,in_person,independent,practice_only,immediate,medium
guzman_2021,in_person,aligned,bundled,immediate,high
hanley_2016,in_person,independent,bundled,immediate,high
hanley_2020,in_person,aligned,practice_only,immediate,high
hanselman_2013,in_person,independent,bundled,immediate,high
heller_2010,in_person,aligned,practice_only,immediate,high
heller_2012,in_person,aligned,practice_only,immediate,high
herman_2022,in_person,independent,bundled,immediate,high
hitchcock_2011,in_person,independent,practice_only,immediate,high
humphrey_2018,in_person,independent,practice_only,immediate,high
jaciw_hegseth_2016,online,aligned,practice_only,immediate,high
jaciw_schellinger_2016,in_person,independent,bundled,immediate,high
jacob_2017,in_person,mixed,practice_only,immediate,high
james_burdumy_2010,in_person,independent,bundled,immediate,high
jay_2017,blended,independent,practice_only,immediate,high
jerrim_2015,blended,independent,bundled,immediate,high
kitmitto_2018,in_person,independent,practice_only,immediate,high
konstantopoulos_2013,not_reported,independent,bundled,immediate,medium
konstantopoulos_2016,not_reported,independent,bundled,immediate,medium
kutaka_2017,in_person,independent,practice_only,immediate,high
landry_2014,in_person,mixed,bundled,immediate,high
landry_2017,in_person,independent,bundled,immediate,high
landry_2021,online,independent,bundled,immediate,high
lang_2009,in_person,independent,bundled,immediate,medium
lesaux_2014,in_person,mixed,bundled,immediate,high
lewis_presser_2015,in_person,mixed,bundled,immediate,medium
llosa_2016,in_person,mixed,bundled,immediate,high
ludwig_song_2015,in_person,independent,practice_only,immediate,high
mattera_2018,in_person,mixed,bundled,both,high
may_2016,in_person,independent,bundled,immediate,high
meyers_2016,in_person,independent,bundled,immediate,medium
motteram_2016,in_person,independent,bundled,immediate,high
murphy_2020,blended,independent,bundled,immediate,high
