slug,eval_independence,developer_delivered,cascade_depth,counterfactual,coaching_intensity,added_student_dose,program_maturity,confidence
abe_2012,independent,yes,developer_direct,business_as_usual,frequent_inclass,none,first_year,high
allen_2015,developer,yes,developer_direct,business_as_usual,occasional,none,first_year,high
ansari_pianta_2018,developer,yes,developer_direct,business_as_usual,frequent_inclass,none,single_year_design,high
arens_2012,independent,no,cascade,business_as_usual,occasional,none,first_year,high
babinski_2018,developer,yes,developer_direct,business_as_usual,occasional,none,single_year_design,high
bierman_2008,developer,no,cascade,business_as_usual,frequent_inclass,none,single_year_design,high
bleses_2021,developer,no,unclear,business_as_usual,none,student_component,single_year_design,medium
borman_2007,developer,yes,developer_direct,business_as_usual,frequent_inclass,student_component,mature,high
borman_2008,developer,yes,cascade,active_or_contaminated,frequent_inclass,none,first_year,medium
borman_2021,developer,no,unclear,active_or_contaminated,none,student_component,single_year_design,medium
bottge_2014,developer,no,cascade,business_as_usual,none,none,single_year_design,high
boylan_2018,independent,yes,developer_direct,business_as_usual,none,none,first_year,high
buysse_2010,developer,yes,developer_direct,business_as_usual,frequent_inclass,none,single_year_design,medium
cabell_2011,developer,yes,developer_direct,business_as_usual,occasional,none,single_year_design,high
carroll_2020,independent,no,unclear,business_as_usual,none,student_component,first_year,medium
castro_2017,developer,yes,developer_direct,business_as_usual,frequent_inclass,none,unclear,medium
cavalluzzo_2014,independent,yes,developer_direct,business_as_usual,occasional,none,mature,high
clarke_2015,developer,yes,developer_direct,business_as_usual,none,none,first_year,high
cordray_2012,independent,yes,developer_direct,business_as_usual,occasional,none,mature,high
coyne_2013,developer,yes,developer_direct,active_or_contaminated,occasional,student_component,single_year_design,high
culliney_2019,independent,yes,developer_direct,business_as_usual,none,none,mature,high
decesare_2017,independent,no,cascade,active_or_contaminated,frequent_inclass,none,mature,high
dolfin_2019,independent,yes,developer_direct,business_as_usual,frequent_inclass,none,mature,high
droop_2016,developer,yes,developer_direct,business_as_usual,occasional,none,mature,high
drummond_2011,independent,yes,developer_direct,business_as_usual,occasional,student_component,first_year,high
drummond_2020,independent,yes,cascade,business_as_usual,frequent_inclass,none,mature,high
duncan_2018,developer,yes,developer_direct,business_as_usual,none,none,first_year,high
early_2016,independent,no,cascade,active_or_contaminated,frequent_inclass,student_component,mature,high
fancsali_2015,independent,yes,cascade,business_as_usual,occasional,none,mature,high
finkelstein_2010,independent,yes,developer_direct,business_as_usual,none,none,single_year_design,high
fong_2015,independent,no,unclear,business_as_usual,occasional,none,unclear,medium
garet_2008,independent,yes,developer_direct,business_as_usual,frequent_inclass,none,first_year,high
garet_2011,independent,yes,developer_direct,business_as_usual,occasional,none,mature,high
garet_2016,independent,no,cascade,business_as_usual,occasional,none,first_year,high
gersten_2010,developer,yes,developer_direct,business_as_usual,none,none,single_year_design,high
gorard_2015,independent,yes,developer_direct,business_as_usual,occasional,none,first_year,high
gore_2021,developer,yes,developer_direct,business_as_usual,none,none,single_year_design,high
greenleaf_2011,developer,yes,developer_direct,business_as_usual,none,none,mature,medium
guzman_2021,developer,no,cascade,business_as_usual,frequent_inclass,none,mature,medium
hanley_2016,independent,yes,developer_direct,business_as_usual,occasional,none,mature,high
hanley_2020,developer,yes,developer_direct,business_as_usual,none,none,first_year,high
hanselman_2013,developer,no,cascade,business_as_usual,frequent_inclass,none,mature,medium
heller_2010,developer,no,cascade,business_as_usual,none,none,single_year_design,medium
heller_2012,developer,no,cascade,business_as_usual,none,none,single_year_design,medium
herman_2022,independent,no,cascade,business_as_usual,frequent_inclass,none,single_year_design,high
hitchcock_2011,independent,yes,developer_direct,business_as_usual,occasional,none,first_year,high
humphrey_2018,independent,no,cascade,business_as_usual,frequent_inclass,none,mature,high
jaciw_hegseth_2016,independent,yes,developer_direct,business_as_usual,none,none,first_year,high
jaciw_schellinger_2016,independent,yes,developer_direct,business_as_usual,occasional,none,first_year,high
jacob_2017,independent,yes,developer_direct,business_as_usual,none,none,mature,high
james_burdumy_2010,independent,yes,developer_direct,business_as_usual,occasional,none,first_year,medium
jay_2017,independent,yes,developer_direct,business_as_usual,frequent_inclass,none,first_year,high
jerrim_2015,independent,yes,developer_direct,business_as_usual,occasional,none,first_year,high
kitmitto_2018,independent,no,cascade,business_as_usual,none,none,first_year,high
konstantopoulos_2013,independent,no,unclear,business_as_usual,unclear,none,first_year,medium
konstantopoulos_2016,independent,no,unclear,business_as_usual,unclear,none,first_year,medium
kutaka_2017,developer,yes,developer_direct,business_as_usual,none,none,mature,high
landry_2014,developer,yes,developer_direct,business_as_usual,frequent_inclass,none,single_year_design,high
landry_2017,developer,yes,developer_direct,business_as_usual,frequent_inclass,none,single_year_design,high
landry_2021,developer,yes,developer_direct,business_as_usual,frequent_inclass,none,single_year_design,high
lang_2009,developer,yes,developer_direct,active_or_contaminated,frequent_inclass,none,mature,high
lesaux_2014,developer,no,cascade,business_as_usual,occasional,none,single_year_design,medium
lewis_presser_2015,developer,yes,developer_direct,business_as_usual,none,student_component,single_year_design,medium
llosa_2016,developer,no,cascade,business_as_usual,none,none,first_year,high
ludwig_song_2015,independent,yes,developer_direct,business_as_usual,frequent_inclass,none,mature,high
mattera_2018,developer,no,cascade,business_as_usual,frequent_inclass,student_component,mature,medium
may_2016,independent,no,cascade,business_as_usual,occasional,student_component,first_year,high
meyers_2016,independent,yes,developer_direct,business_as_usual,frequent_inclass,none,mature,high
motteram_2016,independent,yes,developer_direct,business_as_usual,occasional,none,first_year,high
murphy_2020,independent,yes,developer_direct,business_as_usual,occasional,student_component,mature,high
murphy_2021,developer,no,developer_direct,business_as_usual,none,none,mature,high
newman_2012,independent,no,unclear,business_as_usual,occasional,none,first_year,high
nugent_2016,developer,yes,developer_direct,business_as_usual,occasional,none,single_year_design,high
ohare_2019,independent,yes,developer_direct,business_as_usual,none,none,single_year_design,high
olson_2012,developer,yes,developer_direct,active_or_contaminated,occasional,none,mature,medium
olson_2017,developer,yes,developer_direct,business_as_usual,occasional,none,mature,medium
olson_2020,independent,no,cascade,business_as_usual,occasional,none,first_year,high
pcer_2008,independent,yes,developer_direct,business_as_usual,occasional,none,first_year,low
portes_2018,developer,yes,developer_direct,business_as_usual,frequent_inclass,none,mature,medium
powell_2010,developer,yes,developer_direct,business_as_usual,frequent_inclass,none,single_year_design,high
prast_2018,developer,yes,cascade,business_as_usual,frequent_inclass,none,first_year,high
quint_2015,independent,yes,cascade,business_as_usual,frequent_inclass,student_component,mature,high
randel_2016,independent,no,cascade,business_as_usual,none,none,mature,high
reinke_2018,developer,yes,developer_direct,business_as_usual,frequent_inclass,none,first_year,high
resendez_azin_2009,developer,yes,developer_direct,active_or_contaminated,none,none,first_year,medium
resendez_azin_2012,developer,yes,developer_direct,active_or_contaminated,none,none,first_year,medium
robinson_smith_2018,independent,yes,cascade,business_as_usual,none,student_component,single_year_design,high
rose_2017,independent,yes,cascade,business_as_usual,none,none,first_year,medium
rudd_2017,independent,yes,developer_direct,business_as_usual,occasional,none,first_year,high
rutherford_2014,independent,unclear,unclear,business_as_usual,none,student_component,first_year,medium
savage_2013,developer,yes,developer_direct,business_as_usual,frequent_inclass,none,single_year_design,high
schmidt_2020,independent,no,cascade,active_or_contaminated,frequent_inclass,none,first_year,high
schneider_2021,developer,yes,developer_direct,active_or_contaminated,occasional,none,single_year_design,high
schoen_2020,independent,no,developer_direct,active_or_contaminated,occasional,none,first_year,high
shechtman_2019,independent,yes,developer_direct,business_as_usual,frequent_inclass,student_component,mature,high
simmons_2011,developer,no,developer_direct,active_or_contaminated,none,student_component,single_year_design,high
sloan_2018,independent,yes,developer_direct,business_as_usual,frequent_inclass,none,first_year,high
smith_2016,developer,yes,developer_direct,active_or_contaminated,frequent_inclass,none,first_year,high
somers_2010,independent,yes,developer_direct,business_as_usual,frequent_inclass,student_component,single_year_design,high
song_2021,independent,yes,developer_direct,business_as_usual,none,none,mature,high
speckesser_2018,independent,no,cascade,business_as_usual,none,none,first_year,high
stevens_slavin_1995,developer,yes,developer_direct,active_or_contaminated,occasional,none,mature,medium
stokes_2018,independent,no,cascade,business_as_usual,none,none,first_year,high
styles_2014,independent,yes,developer_direct,business_as_usual,occasional,none,first_year,high
sutherland_2019,independent,yes,cascade,active_or_contaminated,occasional,none,first_year,high
taylor_2015,developer,yes,developer_direct,business_as_usual,none,none,mature,high
thiede_2018,developer,yes,developer_direct,business_as_usual,occasional,none,first_year,medium
thurston_2016,independent,yes,developer_direct,business_as_usual,none,student_component,single_year_design,high
tolan_2020,developer,yes,developer_direct,business_as_usual,frequent_inclass,none,first_year,medium
vaughn_2022,developer,yes,cascade,business_as_usual,none,none,first_year,medium
vernon_feagans_2013,developer,yes,developer_direct,business_as_usual,frequent_inclass,student_component,single_year_design,high
vignoles_2015,independent,yes,developer_direct,business_as_usual,occasional,none,first_year,high
wakabayashi_2020,developer,yes,cascade,business_as_usual,frequent_inclass,none,first_year,high
west_2016,independent,yes,developer_direct,active_or_contaminated,occasional,none,mature,high
whittaker_2020,developer,yes,developer_direct,business_as_usual,none,none,first_year,high
wiggins_2017,independent,yes,developer_direct,business_as_usual,none,none,first_year,high
wiggins_2019,independent,yes,cascade,business_as_usual,none,none,first_year,high
wijekumar_2009,independent,yes,developer_direct,business_as_usual,occasional,student_component,single_year_design,high
wijekumar_2017,developer,yes,developer_direct,business_as_usual,none,student_component,single_year_design,high
wolf_2018,independent,yes,developer_direct,business_as_usual,occasional,none,single_year_design,high
worth_2015,independent,yes,developer_direct,business_as_usual,occasional,student_component,single_year_design,high
worth_2017,independent,no,cascade,active_or_contaminated,none,none,single_year_design,high
wright_2020,independent,yes,developer_direct,business_as_usual,occasional,none,single_year_design,high
yang_2020,developer,yes,developer_direct,business_as_usual,none,none,single_year_design,medium
