Study,Assignment unit,Research Design,Publication Status,Grade Level,Socio-Economic Status,Targeted Population
Abe et al. 2012,School,RCT,Published,3-6,Low SES,All
Allen et al. 2015,Teacher/Class,RCT,Published,Mixed,Average/High SES,All
Ansari & Pianta 2018,Teacher/Class,RCT,Published,Pre-k,Low SES,All
Arens et al. 2012,School,RCT,Unpublished,Mixed,Low SES,Specific
Babinski et al. 2018,Teacher/Class,RCT,Published,K-2,Low SES,Specific
Bierman et al. 2008,School,RCT,Published,Pre-k,Not reported,All
Bleses et al. 2021,School,RCT,Published,Pre-k,Average/High SES,All
Borman et al. 2007,School,RCT,Published,K-2,Low SES,All
Borman et al. 2008,School,RCT,Published,Mixed,Low SES,All
Borman et al. 2021,Student,RCT,Published,7-12,Low SES,All
Bottge et al. 2014,School,RCT,Published,Mixed,Low SES,All
Boylan et al. 2018,School,RCT,Unpublished,3-6,Average/High SES,All
Buysse et al. 2010,Teacher/Class,RCT,Published,Pre-k,Not reported,Specific
Cabell et al. 2011,School,RCT,Published,Pre-k,Low SES,All
Carroll et al. 2020,School,RCT,Published,K-2,Not reported,All
Castro et al. 2017,Teacher/Class,RCT,Published,Pre-k,Not reported,Specific
Cavalluzzo et al. 2014,School,RCT,Unpublished,3-6,Low SES,All
Clarke et al. 2015,Teacher/Class,RCT,Published,K-2,Average/High SES,All
Cordray et al. 2012,School,RCT,Unpublished,3-6,Average/High SES,All
Coyne et al. 2013,Teacher/Class,RCT,Published,K-2,Low SES,All
Culliney et al. 2019,School,RCT,Unpublished,3-6,Average/High SES,All
DeCesare et al. 2017,Teacher/Class,RCT,Unpublished,Mixed,Low SES,All
Dolfin et al. 2019,School,RCT,Unpublished,Mixed,Low SES,All
Droop et al. 2016,School,RCT,Published,3-6,Average/High SES,All
Drummond et al. 2011,Teacher/Class,RCT,Unpublished,3-6,Not reported,All
Drummond et al. 2020,School,RCT,Unpublished,Mixed,Low SES,All
Duncan et al. 2018,School,RCT,Unpublished,3-6,Low SES,All
Early et al. 2016,School,RCT,Published,7-12,Low SES,All
Fancsali et al. 2015,School,QED,Unpublished,7-12,Average/High SES,All
Finkelstein et al. 2010,Teacher/Class,RCT,Unpublished,7-12,Average/High SES,All
Fong et al. 2015,Student,QED,Unpublished,7-12,Not reported,All
Garet et al. 2008 (study 1),School,RCT,Unpublished,K-2,Low SES,All
Garet et al. 2008  (study 2),School,RCT,Unpublished,K-2,Low SES,All
Garet et al. 2011,School,RCT,Unpublished,7-12,Low SES,All
Garet et al. 2016,Teacher/Class,RCT,Unpublished,3-6,Average/High SES,All
Gersten et al. 2010,School,RCT,Published,K-2,Average/High SES,All
Gorard et al. 2015,School,RCT,Unpublished,3-6,Average/High SES,All
Gore et al. 2021,School,RCT,Published,Mixed,Not reported,All
Gore et al. 2021,School,RCT,Published,Mixed,Not reported,All
Greenleaf et al. 2011,School,RCT,Published,7-12,High SES,All
Guzmán et al. 2021,School,RCT,Published,K-2,Not reported,All
Hanley et al. 2016,School,RCT,Unpublished,7-12,Average/High SES,All
Hanley et al. 2020,School,RCT,Published,3-6,Low SES,All
Hanselman et al. 2013,School,RCT,Published,Mixed,Low SES,All
Heller et al. 2010,Teacher/Class,RCT,Unpublished,3-6,Low SES,All
Heller 2012,Teacher/Class,RCT,Unpublished,7-12,Average/High SES,All
Herman et al. 2022,Teacher/Class,RCT,Published,Mixed,Low SES,All
Hitchcock et al. 2011,Teacher/Class,RCT,Unpublished,3-6,Low SES,All
Humphrey et al. 2018,School,RCT,Unpublished,K-2,Average/High SES,All
"Jaciw, Hegseth et al. 2016",Teacher/Class,RCT,Unpublished,7-12,Average/High SES,All
"Jaciw, Schellinger et al. 2016",Teacher/Class,RCT,Published,3-6,Low SES,All
Jacob 2017,Teacher/Class,RCT,Published,Mixed,Low SES,All
Jacob et al. 2017,Teacher/Class,RCT,Published,3-6,Not reported,All
James-Burdumy et al. 2010,School,RCT,Unpublished,3-6,Low SES,All
James-Burdumy et al. 2010,School,RCT,Unpublished,3-6,Low SES,All
James-Burdumy et al. 2010,School,RCT,Unpublished,3-6,Low SES,All
Jay et al. 2017,School,RCT,Unpublished,3-6,Average/High SES,All
Jerrim et al. 2015,School,RCT,Unpublished,3-6,Average/High SES,All
Kitmitto et al. 2018,School,RCT,Unpublished,3-6,Average/High SES,All
Konstantopoulos et al. 2013,School,RCT,Published,3-6,Not reported,All
Konstantopoulos et al. 2016,School,RCT,Published,3-6,Average/High SES,All
Konstantopoulos et al. 2016,School,RCT,Published,K-2,Average/High SES,All
Kutaka et al. 2017,Teacher/Class,QED,Published,K-2,Not reported,All
Landry et al. 2014,Teacher/Class,RCT,Published,Pre-k,Low SES,All
Landry et al. 2017,Teacher/Class,RCT,Published,Pre-k,Low SES,Specific
Landry et al. 2021,Teacher/Class,RCT,Published,Pre-k,Low SES,All
Lang et al. 2009,Student,RCT,Published,7-12,Average/High SES,Specific
Lang et al. 2009,Student,RCT,Published,7-12,Average/High SES,Specific
Lang et al. 2009,Student,RCT,Published,7-12,Average/High SES,Specific
Lesaux et al. 2014,Teacher/Class,RCT,Published,3-6,Average/High SES,Specific
Lewis Presser et al. 2015,School,RCT,Published,prek,Low SES,All
Little et al. 2014,Teacher/Class,RCT,Published,Mixed,Low SES,All
Llosa et al. 2016,School,RCT,Published,3-6,Low SES,All
Ludwig & Song 2015,School,RCT,Unpublished,Pre-k,Average/High SES,All
Mattera et al. 2018,School,RCT,Unpublished,Pre-k,Not reported,All
Mattera et al. 2018,School,RCT,Unpublished,Pre-k,Not reported,All
May et al. 2016,Student,RCT,Unpublished,K-2,Average/High SES,Specific
Meyers et al. 2016,School,RCT,Published,7-12,Average/High SES,All
Miller et al. 2017,School,RCT,Unpublished,K-2,Average/High SES,All
Motteram et al. 2016,Teacher/Class,RCT,Unpublished,3-6,Average/High SES,All
Murphy et al. 2020,School,RCT,Published,7-12,Average/High SES,All
Murphy et al. 2021,School,RCT,Published,3-6,Average/High SES,All
Newman et al. 2012,School,RCT,Unpublished,Mixed,Low SES,All
