Study,TPD Goal,TPD Duration,TPD Trainer,Number of TPD Principles,Teacher Coaching,Teacher Performance Standards,Teacher Self-Regulation,Teacher Cooperation
Abe et al. 2012,(P)CK,Long,Res/Dev,Three,1,1,1,0
Allen et al. 2015,Other,Long,External,Three,1,1,1,0
Ansari & Pianta 2018,Comprehensive approaches,Short,External,Three,1,1,1,0
Arens et al. 2012,TPD for curricula,Short,External,One,0,1,0,0
Babinski et al. 2018,Comprehensive approaches,Short,Res/Dev,Three,0,1,1,1
Bierman et al. 2008,TPD for curricula,Short,Res/Dev,Two,1,0,1,0
Bleses et al. 2021,TPD for curricula,Short,External,Two,0,1,0,1
Borman et al. 2007,Comprehensive approaches,Short,Res/Dev,Four,1,1,1,1
Borman et al. 2008,TPD for curricula,Short,Res/Dev,One,1,0,0,0
Borman et al. 2021,Comprehensive approaches,Short,Res/Dev,Two,1,0,1,0
Bottge et al. 2014,TPD for curricula,Short,Res/Dev,Zero,0,0,0,0
Boylan et al. 2018,TPD for curricula,Long,Res/Dev,Zero,0,0,0,0
Buysse et al. 2010,Other,Short,Res/Dev,Three,1,0,1,1
Cabell et al. 2011,(P)CK,Short,Res/Dev,Two,1,0,1,0
Carroll et al. 2020,TPD for digital tools,Short,Res/Dev,Two,0,0,1,1
Castro et al. 2017,(P)CK,Long,Res/Dev,Three,1,0,1,1
Cavalluzzo et al. 2014,Comprehensive approaches,Long,Res/Dev,Zero,0,0,0,0
Clarke et al. 2015,TPD for curricula,Short,Res/Dev,Zero,0,0,0,0
Cordray et al. 2012,TPD for digital tools,Short,Res/Dev,Zero,0,0,0,0
Coyne et al. 2013,TPD for curricula,Short,Res/Dev,One,0,1,0,0
Culliney et al. 2019,(P)CK,Short,External,Two,0,1,1,0
DeCesare et al. 2017,Comprehensive approaches,Long,External,Two,1,0,1,0
Dolfin et al. 2019,TPD for curricula,Long,Res/Dev,Two,1,0,1,0
Droop et al. 2016,TPD for curricula,Short,Res/Dev,One,1,0,0,0
Drummond et al. 2011,TPD for digital tools,Short,Res/Dev,One,1,0,0,0
Drummond et al. 2020,(P)CK,Long,Res/Dev,One,1,0,0,0
Duncan et al. 2018,Comprehensive approaches,Short,Res/Dev,Two,0,1,1,0
Early et al. 2016,(P)CK,Long,Res/Dev,Three,1,1,1,0
Fancsali et al. 2015,(P)CK,Long,Res/Dev,Two,1,0,0,1
Finkelstein et al. 2010,(P)CK,Short,Res/Dev,Three,0,1,1,1
Fong et al. 2015,TPD for curricula,Long,Res/Dev,Two,1,0,1,0
Garet et al. 2008 (study 1),(P)CK,Short,Res/Dev,One,1,0,0,0
Garet et al. 2008  (study 2),(P)CK,Short,Res/Dev,One,1,0,0,0
Garet et al. 2011,TPD for curricula,Short,External,Zero,0,0,0,0
Garet et al. 2016,TPD for curricula,Short,External,One,1,0,0,0
Gersten et al. 2010,(P)CK,Short,Res/Dev,One,0,0,1,0
Gorard et al. 2015,Comprehensive approaches,Short,Res/Dev,Four,1,1,1,1
Gore et al. 2021,Comprehensive approaches,Short,Res/Dev,Three,0,1,1,1
Gore et al. 2021,Comprehensive approaches,Short,Res/Dev,Three,0,1,1,1
Greenleaf et al. 2011,Comprehensive approaches,Long,External,Three,0,1,1,1
Guzmán et al. 2021,TPD for curricula,Long,External,Three,1,0,1,1
Hanley et al. 2016,(P)CK,Long,External,Four,1,1,1,1
Hanley et al. 2020,(P)CK,Short,External,One,0,0,1,0
Hanselman et al. 2013,Comprehensive approaches,Long,Res/Dev,Four,1,1,1,1
Heller et al. 2010,TPD for curricula,Short,Res/Dev,Zero,0,0,0,0
Heller 2012,(P)CK,Short,Res/Dev,Zero,0,0,0,0
Herman et al. 2022,Other,Short,External,Four,1,1,1,1
Hitchcock et al. 2011,(P)CK,Short,Res/Dev,One,1,0,0,0
Humphrey et al. 2018,Other,Long,External,One,1,0,0,0
"Jaciw, Hegseth et al. 2016",Comprehensive approaches,Short,Res/Dev,Three,0,1,1,1
"Jaciw, Schellinger et al. 2016",TPD for curricula,Short,External,Zero,0,0,0,0
Jacob 2017,(P)CK,Long,Res/Dev,One,0,0,1,0
Jacob et al. 2017,(P)CK,Short,Res/Dev,One,1,0,0,0
James-Burdumy et al. 2010,TPD for curricula,Long,Res/Dev,Zero,0,0,0,0
James-Burdumy et al. 2010,TPD for curricula,Long,Res/Dev,Zero,0,0,0,0
James-Burdumy et al. 2010,TPD for curricula,Long,Res/Dev,One,1,0,0,0
Jay et al. 2017,Comprehensive approaches,Short,Res/Dev,Three,1,1,1,0
Jerrim et al. 2015a,TPD for curricula,Long,Res/Dev,Three,1,1,1,0
Kitmitto et al. 2018,(P)CK,Short,External,Zero,0,0,0,0
Konstantopoulos et al. 2013,TPD for digital tools,Short,External,One,0,0,1,0
Konstantopoulos et al. 2016,TPD for curricula,Short,External,One,0,0,1,0
Konstantopoulos et al. 2016,TPD for curricula,Short,External,One,0,0,1,0
Kutaka et al. 2017,(P)CK,Long,Res/Dev,Two,0,0,1,1
Landry et al. 2014,Comprehensive approaches,Short,Res/Dev,Three,1,1,1,0
Landry et al. 2017,Comprehensive approaches,Short,Res/Dev,Four,1,1,1,1
Landry et al. 2021,Comprehensive approaches,Short,External,Three,1,1,1,0
Lang et al. 2009,TPD for curricula,Short,Res/Dev,One,1,0,0,0
Lang et al. 2009,TPD for curricula,Short,Res/Dev,One,1,0,0,0
Lang et al. 2009,TPD for curricula,Short,Res/Dev,One,1,0,0,0
Lesaux et al. 2014,TPD for curricula,Short,External,Zero,0,0,0,0
Lewis Presser et al. 2015,TPD for curricula,Short,Res/Dev,Two,0,0,1,1
Little et al. 2014,Other,Short,Res/Dev,Two,1,0,1,0
Llosa et al. 2016,TPD for curricula,Long,Res/Dev,Two,1,0,1,0
Ludwig & Song 2015,Comprehensive approaches,Long,Res/Dev,One,1,0,0,0
Mattera et al. 2018,TPD for curricula,Long,Res/Dev,Two,1,1,0,0
Mattera et al. 2018,TPD for curricula,Long,Res/Dev,Two,1,1,0,0
May et al. 2016,(P)CK,Short,External,Four,1,1,1,1
Meyers et al. 2016,Comprehensive approaches,Long,External,Three,1,1,1,0
Miller et al. 2017,Comprehensive approaches,Long,Res/Dev,Four,1,1,1,1
Motteram et al. 2016,TPD for curricula,Short,Res/Dev,Zero,0,0,0,0
Murphy et al. 2020,TPD for digital tools,Long,Res/Dev,Two,1,0,1,0
Murphy et al. 2021,(P)CK,Long,External,Two,1,0,1,0
Newman et al. 2012,(P)CK,Short,External,One,1,0,0,0
Nugent et al. 2016,(P)CK,Long,Res/Dev,Three,1,1,1,0
O'Hare et al. 2019,(P)CK,Short,Res/Dev,Two,0,1,1,0
Olson et al. 2012,(P)CK,Long,Res/Dev,One,1,0,0,0
Olson et al. 2017,(P)CK,Long,Res/Dev,One,1,0,0,0
Olson et al. 2020,(P)CK,Short,External,Zero,0,0,0,0
PCER (2008),TPD for curricula,Long,External,Two,1,0,1,0
Portes et al. 2018,Comprehensive approaches,Long,Res/Dev,Four,1,1,1,1
Powell et al. 2010,(P)CK,Short,External,Three,1,1,1,0
Prast et al. 2018,Other,Long,External,Zero,1,0,0,1
Quint et al. 2015,Comprehensive approaches,Long,Res/Dev,Four,1,1,1,1
Randel et al. 2016,TPD for digital tools,Short,Res/Dev,One,0,0,1,0
Reid et al. 2014,TPD for curricula,Long,Res/Dev,Two,1,0,1,0
Reinke et al. 2018,Other,Short,Res/Dev,Two,1,0,1,0
Resendez &Azin 2009,TPD for curricula,Long,Res/Dev,Two,1,1,0,0
Resendez & Azin 2012,TPD for curricula,Short,Res/Dev,Zero,0,0,0,0
Robinson-Smith et al. 2018,(P)CK,Short,External,Three,0,1,1,1
Rose 2017,Comprehensive approaches,Long,Res/Dev,Two,0,0,1,1
Rudd et al. 2017,Comprehensive approaches,Short,Res/Dev,Two,1,0,1,0
Rutherford et al. 2014,TPD for digital tools,Short,Res/Dev,Zero,0,0,0,0
Savage et al. 2013,TPD for digital tools,Short,Res/Dev,One,1,0,0,0
Schmidt et al. 2020,Comprehensive approaches,Long,External,Three,1,1,1,0
Schneider et al. 2021,(P)CK,Short,Res/Dev,One,0,0,1,0
Schoen et al. 2020,(P)CK,Short,Res/Dev,Zero,0,0,0,0
Shechtman et al. 2019,TPD for curricula,Long,Res/Dev,Four,1,1,1,1
Simmons et al. 2011,TPD for curricula,Short,Res/Dev,One,0,1,0,0
Sloan et al. 2018,Other,Short,Res/Dev,Zero,0,0,0,0
Smith et al. 2016,TPD for curricula,Short,Res/Dev,Two,1,1,0,0
Somers et al. 2010,TPD for curricula,Short,Res/Dev,Three,1,1,1,0
Somers et al. 2010,TPD for curricula,Short,Res/Dev,One,1,0,0,0
Song et al. 2021,(P)CK,Long,External,Two,1,0,1,0
Speckesser et al. 2018,Comprehensive approaches,Long,External,Three,0,1,1,1
Stevens & Slavin 1995,Comprehensive approaches,Short,Res/Dev,Four,1,1,1,1
Stokes et al. 2018,(P)CK,Short,External,One,1,0,0,0
Styles et al. 2014,TPD for curricula,Short,External,One,0,0,1,0
Sutherland et al. 2019,TPD for digital tools,Short,Res/Dev,Four,1,1,1,1
Taylor et al. 2015,TPD for curricula,Short,Res/Dev,Two,0,1,1,0
Thiede et al. 2018,Comprehensive approaches,Short,Res/Dev,Two,1,0,1,0
Thiede et al. 2018,Comprehensive approaches,Short,Res/Dev,Two,1,0,1,0
Thiede et al. 2018,Comprehensive approaches,Short,Res/Dev,Two,1,0,1,0
Thurston 2016,Comprehensive approaches,Long,External,Two,1,0,0,1
Tolan et al. 2020,Other,Short,External,Two,1,0,1,0
Vaughn et al. 2022,(P)CK,Short,Res/Dev,Three,0,1,1,1
Vaughn et al. 2022,(P)CK,Short,Res/Dev,Three,0,1,1,1
Vernon-Feagans et al. 2013,(P)CK,Short,Res/Dev,One,1,0,0,0
Vignoles et al. 2015,TPD for curricula,Long,Res/Dev,Three,1,1,1,0
Wakabayashi et al. 2020,(P)CK,Short,Res/Dev,Three,1,1,1,0
West et al. 2016,TPD for digital tools,Long,Res/Dev,Two,0,1,0,1
Whittaker et al. 2020,TPD for curricula,Long,Res/Dev,Two,1,0,1,0
Wiggins et al. 2017,TPD for curricula,Short,Res/Dev,One,0,0,1,0
Wiggins et al. 2019,(P)CK,Long,External,Two,0,0,1,1
Wijekumar et al. 2009,TPD for digital tools,Short,Res/Dev,One,0,1,0,0
Wijekumar et al. 2017,TPD for curricula,Short,Res/Dev,One,0,1,0,0
Wolf et al. 2018,TPD for curricula,Short,Res/Dev,Three,1,1,1,0
Wolf et al. 2018,TPD for curricula,Short,Res/Dev,Three,1,1,1,0
Worth et al. 2015,TPD for curricula,Short,Res/Dev,One,1,0,0,0
Worth et al. 2015,TPD for curricula,Short,Res/Dev,One,1,0,0,0
Worth et al. 2017,TPD for digital tools,Long,External,One,0,1,0,0
Wright et al. 2020,(P)CK,Long,External,Three,1,1,1,0
Yang et al. 2020,(P)CK,Long,Res/Dev,Two,0,0,1,1
Yang et al. 2020,TPD for curricula,Long,Res/Dev,Three,0,1,1,1
