Moderator,β,SE,t,df,p,95% CI
Intercept,0.09,0.01,7.35,71.0,< 0.001,"[0.06, 0.11]"
Published,0.05,0.02,2.85,90.1,0.005,"[0.02, 0.09]"
Low-SES,-0.02,0.02,-1.27,57.4,0.208,"[-0.06, 0.01]"
Primary,0.04,0.02,2.00,26.6,0.056,"[-0.00, 0.07]"
Secondary,0.03,0.02,1.41,31.4,0.168,"[-0.01, 0.08]"
Reading,-0.03,0.04,-0.80,16.4,0.433,"[-0.12, 0.05]"
STEM,-0.05,0.04,-1.34,17.0,0.197,"[-0.14, 0.03]"
(P)CK,0.01,0.05,0.15,12.2,0.880,"[-0.09, 0.11]"
Comp. approaches,-0.02,0.04,-0.42,13.5,0.680,"[-0.10, 0.07]"
TPD for curricula,0.00,0.04,0.07,11.7,0.943,"[-0.08, 0.09]"
TPD for digital tools,-0.05,0.04,-1.12,16.8,0.280,"[-0.13, 0.04]"
