Moderator,β,SE,t,df,p,95% CI
Intercept,0.10,0.02,5.99,52.2,< 0.001,"[0.06, 0.13]"
Published,0.05,0.02,2.67,65.7,0.009,"[0.01, 0.09]"
Low SES,-0.01,0.02,-0.50,60.3,0.617,"[-0.05, 0.03]"
Missing SES,0.05,0.02,1.88,30.7,0.070,"[-0.00, 0.10]"
Primary,0.04,0.02,2.29,27.1,0.030,"[0.00, 0.07]"
Secondary,0.03,0.02,1.50,32.2,0.144,"[-0.01, 0.08]"
Reading,-0.04,0.04,-0.97,17.2,0.346,"[-0.13, 0.05]"
STEM,-0.06,0.04,-1.55,17.7,0.139,"[-0.14, 0.02]"
(P)CK,-0.02,0.04,-0.60,14.1,0.557,"[-0.10, 0.06]"
Comp. approaches,0.00,0.04,0.02,12.6,0.981,"[-0.09, 0.10]"
TPD for curricula,0.00,0.04,0.02,11.9,0.988,"[-0.08, 0.08]"
TPD for digital tools,-0.06,0.04,-1.40,17.4,0.179,"[-0.14, 0.03]"
