,Unconditional,Unconditional,,With Moderators,With Moderators
Adjustment Model,Mean,p,,Mean,p
Unadjusted,Unadjusted,Unadjusted,Unadjusted,Unadjusted,Unadjusted
None,0.09,< .001,,0.09,< .001
Selection Models,Selection Models,Selection Models,Selection Models,Selection Models,Selection Models
p = .025,0.14,< .001,,0.14,< .001
"p = .025, .05",0.16,< .001,,0.16,< .001
"p = .025, .50",0.10,< .001,,0.10,< .001
"p = .025, .05, .50",0.13,< .001,,0.13,< .001
"p = .005, 025",0.14,< .001,,0.14,< .001
"p = .005,.025, .05",0.17,< .001,,0.14,< .001
"p = .005, .025, .50",0.10,< .001,,0.09,< .001
"p = .005, .025, .05, .50",0.14,< .001,,0.11,< .001
