Moderator,β,SE,t,df,p,95% CI
Intercept,0.09,0.01,7.42,72.4,< 0.001,"[0.06, 0.11]"
Published,0.07,0.02,3.07,91.9,0.003,"[0.02, 0.10]"
Low SES,-0.02,0.02,-1.39,58.6,0.169,"[-0.06, 0.01]"
Primary,0.04,0.02,2.10,27.0,0.046,"[-0.00, 0.07]"
Secondary,0.03,0.02,1.36,32.3,0.183,"[-0.02, 0.08]"
Reading,-0.03,0.04,-0.81,16.6,0.432,"[-0.12, 0.05]"
STEM,-0.05,0.04,-1.39,17.2,0.184,"[-0.14, 0.03]"
(P)CK,0.01,0.05,0.14,12.4,0.889,"[-0.09, 0.10]"
Comp. Approaches,-0.02,0.04,-0.42,13.6,0.682,"[-0.10, 0.06]"
TPD for curricula,0.02,0.04,0.14,11.8,0.889,"[-0.08, 0.09]"
TPD for digital tools,-0.05,0.04,-1.13,16.9,0.273,"[-0.08, 0.09]"
