row_id,study,study_s31,study_s32,name_mismatch,report_group,is_multi_arm,assignment_unit,research_design,publication_status,grade_level,ses,targeted_population,tpd_goal,tpd_duration,tpd_trainer,n_principles,coaching,performance_standards,self_regulation,cooperation,full_citation,doi_url,pdf_status,pdf_path,k_effect_sizes,extraction_status,notes
1,Abe et al. 2012,Abe et al. 2012,Abe et al. 2012,0,abe et al. 2012,0,School,RCT,Published,3-6,Low SES,All,(P)CK,Long,Res/Dev,Three,1,1,1,0,,,todo,,,todo,
2,Allen et al. 2015,Allen et al. 2015,Allen et al. 2015,0,allen et al. 2015,0,Teacher/Class,RCT,Published,Mixed,Average/High SES,All,Other,Long,External,Three,1,1,1,0,,,todo,,,todo,
3,Ansari & Pianta 2018,Ansari & Pianta 2018,Ansari & Pianta 2018,0,ansari&pianta 2018,0,Teacher/Class,RCT,Published,Pre-k,Low SES,All,Comprehensive approaches,Short,External,Three,1,1,1,0,,,todo,,,todo,
4,Arens et al. 2012,Arens et al. 2012,Arens et al. 2012,0,arens et al. 2012,0,School,RCT,Unpublished,Mixed,Low SES,Specific,TPD for curricula,Short,External,One,0,1,0,0,,,todo,,,todo,
5,Babinski et al. 2018,Babinski et al. 2018,Babinski et al. 2018,0,babinski et al. 2018,0,Teacher/Class,RCT,Published,K-2,Low SES,Specific,Comprehensive approaches,Short,Res/Dev,Three,0,1,1,1,,,todo,,,todo,
6,Bierman et al. 2008,Bierman et al. 2008,Bierman et al. 2008,0,bierman et al. 2008,0,School,RCT,Published,Pre-k,Not reported,All,TPD for curricula,Short,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
7,Bleses et al. 2021,Bleses et al. 2021,Bleses et al. 2021,0,bleses et al. 2021,0,School,RCT,Published,Pre-k,Average/High SES,All,TPD for curricula,Short,External,Two,0,1,0,1,,,todo,,,todo,
8,Borman et al. 2007,Borman et al. 2007,Borman et al. 2007,0,borman et al. 2007,0,School,RCT,Published,K-2,Low SES,All,Comprehensive approaches,Short,Res/Dev,Four,1,1,1,1,,,todo,,,todo,
9,Borman et al. 2008,Borman et al. 2008,Borman et al. 2008,0,borman et al. 2008,0,School,RCT,Published,Mixed,Low SES,All,TPD for curricula,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
10,Borman et al. 2021,Borman et al. 2021,Borman et al. 2021,0,borman et al. 2021,0,Student,RCT,Published,7-12,Low SES,All,Comprehensive approaches,Short,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
11,Bottge et al. 2014,Bottge et al. 2014,Bottge et al. 2014,0,bottge et al. 2014,0,School,RCT,Published,Mixed,Low SES,All,TPD for curricula,Short,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
12,Boylan et al. 2018,Boylan et al. 2018,Boylan et al. 2018,0,boylan et al. 2018,0,School,RCT,Unpublished,3-6,Average/High SES,All,TPD for curricula,Long,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
13,Buysse et al. 2010,Buysse et al. 2010,Buysse et al. 2010,0,buysse et al. 2010,0,Teacher/Class,RCT,Published,Pre-k,Not reported,Specific,Other,Short,Res/Dev,Three,1,0,1,1,,,todo,,,todo,
14,Cabell et al. 2011,Cabell et al. 2011,Cabell et al. 2011,0,cabell et al. 2011,0,School,RCT,Published,Pre-k,Low SES,All,(P)CK,Short,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
15,Carroll et al. 2020,Carroll et al. 2020,Carroll et al. 2020,0,carroll et al. 2020,0,School,RCT,Published,K-2,Not reported,All,TPD for digital tools,Short,Res/Dev,Two,0,0,1,1,,,todo,,,todo,
16,Castro et al. 2017,Castro et al. 2017,Castro et al. 2017,0,castro et al. 2017,0,Teacher/Class,RCT,Published,Pre-k,Not reported,Specific,(P)CK,Long,Res/Dev,Three,1,0,1,1,,,todo,,,todo,
